"Case_Id","Sample_Type","Eligibility_Concerns","Eligibility_Outcome","Validation_Study_Outcome","Did_Vote","Political_Party","Voting_Level_Difficulty_Code"
200039,2,0,-2,-2,4,"Democrat",2
200046,2,0,-2,-2,4,"Republican",1
200060,2,0,-2,-2,4,"Democrat",2
200084,2,0,-2,-2,4,"Republican",1
200114,2,1,4,3,4,"Democrat",2
200121,2,0,-2,-2,4,"Democrat",1
200138,2,0,-2,-2,4,"Democrat",1
200152,2,1,4,3,4,"Republican",1
200169,2,0,-2,-2,-1,"Democrat",1
200190,2,0,-2,-2,4,"Democrat",1
200206,2,0,-2,-2,-1,"Democrat",1
200220,2,0,-2,-2,4,"Democrat",1
200244,2,0,-2,-2,4,"Democrat",1
200275,2,1,1,1,4,"Democrat",1
200282,2,0,-2,-2,4,"Democrat",1
200305,2,1,4,3,4,"Republican",1
200329,2,0,-2,-2,4,"Democrat",1
200343,2,0,-2,-2,4,"Republican",1
200374,2,0,-2,-2,4,"Republican",1
200381,2,1,4,3,4,"Republican",2
200404,2,0,-2,-2,4,"Democrat",2
200442,2,0,-2,-2,4,"Democrat",1
200459,2,0,-2,-2,4,"Republican",1
200466,2,0,-2,-2,4,"Democrat",1
200473,2,0,-2,-2,4,"Republican",1
200480,2,0,-2,-2,4,"Democrat",1
200497,2,0,-2,-2,4,"Democrat",1
200503,2,0,-2,-2,4,"Democrat",1
200510,2,0,-2,-2,4,"Republican",1
200527,2,0,-2,-2,4,"Republican",1
200534,2,0,-2,-2,4,"Democrat",1
200541,2,0,-2,-2,4,"Republican",1
200558,2,0,-2,-2,4,"Republican",1
200565,2,0,-2,-2,4,"Republican",1
200589,2,1,1,1,4,"Republican",1
200596,2,0,-2,-2,4,"Democrat",1
200602,2,0,1,1,4,"Democrat",1
200626,2,0,-2,-2,4,"Republican",1
200633,2,0,-2,-2,4,"Democrat",2
200640,2,1,1,1,-1,"Democrat",1
200671,2,0,-2,-2,4,"Democrat",1
200725,2,0,-2,-2,4,"Democrat",1
200732,2,0,-2,-2,4,"Democrat",1
200749,2,0,-2,-2,4,"Republican",1
200756,2,0,-2,-2,4,"Republican",1
200787,2,0,-2,-2,4,"Democrat",1
200794,2,0,1,1,4,"Democrat",2
200800,2,0,-2,-2,4,"Democrat",1
200817,2,0,-2,-2,4,"Republican",1
200824,2,0,-2,-2,4,"Democrat",1
200831,2,0,-2,-2,4,"Democrat",1
200855,2,0,-2,-2,4,"Democrat",1
200862,2,0,-2,-2,4,"Democrat",3
200879,2,0,4,3,4,"Democrat",1
200886,2,0,-2,-2,4,"Democrat",1
